,V1,V2,V3,V4,V5,V6,V7
51,-2.3,0.564,5.1,3.95,3.53,0.325,5.19
52,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
53,-2.3,0.564,5.1,3.95,3.53,0.375,12.86
54,-2.3,0.564,5.1,3.95,3.53,0.4,21.51
55,-2.3,0.564,5.1,3.95,3.53,0.425,33.97
56,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
57,-2.4,0.574,4.36,3.96,2.76,0.125,0.2
58,-2.4,0.574,4.36,3.96,2.76,0.15,0.35
59,-2.4,0.574,4.36,3.96,2.76,0.175,0.65
60,-2.4,0.574,4.36,3.96,2.76,0.2,0.93
61,-2.4,0.574,4.36,3.96,2.76,0.225,1.37
62,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
63,-2.4,0.574,4.36,3.96,2.76,0.275,2.83
64,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
65,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
66,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
67,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
68,-2.4,0.574,4.36,3.96,2.76,0.4,21.51
69,-2.4,0.574,4.36,3.96,2.76,0.425,33.97
70,-2.4,0.574,4.36,3.96,2.76,0.45,50.36
71,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
72,-2.4,0.568,4.34,2.98,3.15,0.15,0.26
73,-2.4,0.568,4.34,2.98,3.15,0.175,0.43
74,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
75,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
76,-2.4,0.568,4.34,2.98,3.15,0.25,1.67
77,-2.4,0.568,4.34,2.98,3.15,0.275,2.46
78,-2.4,0.568,4.34,2.98,3.15,0.3,3.43
79,-2.4,0.568,4.34,2.98,3.15,0.325,4.62
80,-2.4,0.568,4.34,2.98,3.15,0.35,6.86
81,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
82,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
83,-2.4,0.568,4.34,2.98,3.15,0.425,34.5
84,-2.4,0.568,4.34,2.98,3.15,0.45,54.23
85,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
86,-2.3,0.562,5.14,4.95,3.17,0.15,0.44
87,-2.3,0.562,5.14,4.95,3.17,0.175,0.7
88,-2.3,0.562,5.14,4.95,3.17,0.2,1.07
89,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
90,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
91,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
92,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
93,-2.3,0.562,5.14,4.95,3.17,0.325,5.82
94,-2.3,0.562,5.14,4.95,3.17,0.35,8.28
95,-2.3,0.562,5.14,4.95,3.17,0.375,12.8
96,-2.3,0.562,5.14,4.95,3.17,0.4,20.41
97,-2.3,0.562,5.14,4.95,3.17,0.425,32.34
98,-2.3,0.562,5.14,4.95,3.17,0.45,47.29
99,-2.4,0.585,4.78,3.84,3.32,0.125,0.2
100,-2.4,0.585,4.78,3.84,3.32,0.15,0.38
101,-2.4,0.585,4.78,3.84,3.32,0.175,0.64
102,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
103,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
104,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
105,-2.4,0.585,4.78,3.84,3.32,0.275,2.91
106,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
107,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
108,-2.4,0.585,4.78,3.84,3.32,0.35,8.04
109,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
110,-2.4,0.585,4.78,3.84,3.32,0.4,19.18
111,-2.4,0.585,4.78,3.84,3.32,0.425,30.09
112,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
113,-2.2,0.546,4.78,4.13,3.07,0.125,0.15
114,-2.2,0.546,4.78,4.13,3.07,0.15,0.32
115,-2.2,0.546,4.78,4.13,3.07,0.175,0.55
116,-2.2,0.546,4.78,4.13,3.07,0.2,0.86
117,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
118,-2.2,0.546,4.78,4.13,3.07,0.25,1.76
119,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
120,-2.2,0.546,4.78,4.13,3.07,0.3,3.45
121,-2.2,0.546,4.78,4.13,3.07,0.325,4.83
122,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
123,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
124,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
125,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
126,-2.2,0.546,4.78,4.13,3.07,0.45,53.07
127,0,0.565,4.77,3.99,3.15,0.125,0.11
128,0,0.565,4.77,3.99,3.15,0.15,0.24
129,0,0.565,4.77,3.99,3.15,0.175,0.49
130,0,0.565,4.77,3.99,3.15,0.2,0.79
131,0,0.565,4.77,3.99,3.15,0.225,1.28
132,0,0.565,4.77,3.99,3.15,0.25,1.96
133,0,0.565,4.77,3.99,3.15,0.275,2.88
134,0,0.565,4.77,3.99,3.15,0.3,4.14
135,0,0.565,4.77,3.99,3.15,0.325,5.96
136,0,0.565,4.77,3.99,3.15,0.35,9.07
137,0,0.565,4.77,3.99,3.15,0.375,14.93
138,0,0.565,4.77,3.99,3.15,0.4,24.13
139,0,0.565,4.77,3.99,3.15,0.425,38.12
140,0,0.565,4.77,3.99,3.15,0.45,55.44
141,-5,0.565,4.77,3.99,3.15,0.125,0.07
142,-5,0.565,4.77,3.99,3.15,0.15,0.18
143,-5,0.565,4.77,3.99,3.15,0.175,0.4
144,-5,0.565,4.77,3.99,3.15,0.2,0.7
145,-5,0.565,4.77,3.99,3.15,0.225,1.14
146,-5,0.565,4.77,3.99,3.15,0.25,1.83
147,-5,0.565,4.77,3.99,3.15,0.275,2.77
148,-5,0.565,4.77,3.99,3.15,0.3,4.12
149,-5,0.565,4.77,3.99,3.15,0.325,5.41
150,-5,0.565,4.77,3.99,3.15,0.35,7.87
151,-5,0.565,4.77,3.99,3.15,0.375,12.71
152,-5,0.565,4.77,3.99,3.15,0.4,21.02
153,-5,0.565,4.77,3.99,3.15,0.425,34.58
154,-5,0.565,4.77,3.99,3.15,0.45,51.77
155,0,0.565,5.1,3.94,3.51,0.125,0.08
156,0,0.565,5.1,3.94,3.51,0.15,0.26
157,0,0.565,5.1,3.94,3.51,0.175,0.5
158,0,0.565,5.1,3.94,3.51,0.2,0.83
159,0,0.565,5.1,3.94,3.51,0.225,1.28
160,0,0.565,5.1,3.94,3.51,0.25,1.9
161,0,0.565,5.1,3.94,3.51,0.275,2.68
162,0,0.565,5.1,3.94,3.51,0.3,3.76
163,0,0.565,5.1,3.94,3.51,0.325,5.57
164,0,0.565,5.1,3.94,3.51,0.35,8.76
165,0,0.565,5.1,3.94,3.51,0.375,14.24
166,0,0.565,5.1,3.94,3.51,0.4,23.05
167,0,0.565,5.1,3.94,3.51,0.425,35.46
168,0,0.565,5.1,3.94,3.51,0.45,51.99
169,-5,0.565,5.1,3.94,3.51,0.125,0.08
170,-5,0.565,5.1,3.94,3.51,0.15,0.24
171,-5,0.565,5.1,3.94,3.51,0.175,0.45
172,-5,0.565,5.1,3.94,3.51,0.2,0.77
173,-5,0.565,5.1,3.94,3.51,0.225,1.19
174,-5,0.565,5.1,3.94,3.51,0.25,1.76
175,-5,0.565,5.1,3.94,3.51,0.275,2.59
176,-5,0.565,5.1,3.94,3.51,0.3,3.85
177,-5,0.565,5.1,3.94,3.51,0.325,5.27
178,-5,0.565,5.1,3.94,3.51,0.35,7.74
179,-5,0.565,5.1,3.94,3.51,0.375,12.4
180,-5,0.565,5.1,3.94,3.51,0.4,20.91
181,-5,0.565,5.1,3.94,3.51,0.425,33.23
182,-5,0.565,5.1,3.94,3.51,0.45,49.14
183,-2.3,0.53,5.11,3.69,3.51,0.125,0.08
184,-2.3,0.53,5.11,3.69,3.51,0.15,0.25
185,-2.3,0.53,5.11,3.69,3.51,0.175,0.46
186,-2.3,0.53,5.11,3.69,3.51,0.2,0.75
187,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
188,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
189,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
190,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
191,-2.3,0.53,5.11,3.69,3.51,0.325,4.42
192,-2.3,0.53,5.11,3.69,3.51,0.35,7.84
193,-2.3,0.53,5.11,3.69,3.51,0.375,14.11
194,-2.3,0.53,5.11,3.69,3.51,0.4,24.14
195,-2.3,0.53,5.11,3.69,3.51,0.425,37.95
196,-2.3,0.53,5.11,3.69,3.51,0.45,55.17
197,-2.3,0.53,4.76,3.68,3.16,0.125,0.1
198,-2.3,0.53,4.76,3.68,3.16,0.15,0.23
199,-2.3,0.53,4.76,3.68,3.16,0.175,0.47
200,-2.3,0.53,4.76,3.68,3.16,0.2,0.76
201,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
202,-2.3,0.53,4.76,3.68,3.16,0.25,1.65
203,-2.3,0.53,4.76,3.68,3.16,0.275,2.28
204,-2.3,0.53,4.76,3.68,3.16,0.3,3.09
205,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
206,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
207,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
208,-2.3,0.53,4.76,3.68,3.16,0.4,23.96
209,-2.3,0.53,4.76,3.68,3.16,0.425,37.38
210,-2.3,0.53,4.76,3.68,3.16,0.45,56.46
211,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
212,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
213,-2.3,0.53,4.34,2.81,3.15,0.175,0.35
214,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
215,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
216,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
217,-2.3,0.53,4.34,2.81,3.15,0.275,2.05
218,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
219,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
220,-2.3,0.53,4.34,2.81,3.15,0.35,7.19
221,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
222,-2.3,0.53,4.34,2.81,3.15,0.4,25.18
223,-2.3,0.53,4.34,2.81,3.15,0.425,41.34
224,-2.3,0.53,4.34,2.81,3.15,0.45,62.42
225,0,0.6,4.78,4.24,3.15,0.125,0.03
